imgCount,embedCount,pCount,wordCount,successFail
46,0,174,4573,SUCCESS
13,0,33,1047,SUCCESS
22,1,61,1612,SUCCESS
56,0,98,3856,SUCCESS
9,0,66,467,SUCCESS
21,7,67,1675,SUCCESS
14,0,41,919,SUCCESS
9,0,26,725,SUCCESS
14,0,36,708,SUCCESS
12,0,12,174,SUCCESS
29,1,44,2135,SUCCESS
17,0,42,1062,SUCCESS
4,0,44,1435,SUCCESS
3,0,28,336,SUCCESS
4,0,37,910,SUCCESS
23,2,64,2095,SUCCESS
57,0,69,1029,SUCCESS
19,0,49,1280,SUCCESS
5,0,38,869,SUCCESS
12,2,46,1216,SUCCESS
92,10,74,2344,SUCCESS
26,0,59,1515,SUCCESS
21,1,102,3679,SUCCESS
16,0,67,1681,SUCCESS
48,2,113,3367,SUCCESS
100,4,73,1574,SUCCESS
13,1,66,1582,SUCCESS
25,0,39,628,SUCCESS
7,0,24,351,SUCCESS
30,5,27,759,SUCCESS
22,2,50,1024,SUCCESS
6,0,15,285,SUCCESS
33,5,52,1061,SUCCESS
12,0,70,1528,SUCCESS
17,5,49,1654,SUCCESS
37,0,103,3421,SUCCESS
41,2,55,1350,SUCCESS
24,1,76,1771,SUCCESS
52,1,163,4683,SUCCESS
